y,time,logy,logy_cycle,logy_trend,logy_sa,y_sa,logy_sa_cycle,logy_sa_trend
6843622470.333333,2007-04-01,22.64658302931772,-0.08907577716568937,22.73565880648341,22.693773272596207,7174316068.578238,,
7227775523.0,2007-07-01,22.701197152608625,-0.04710950490228072,22.748306657510906,22.706120514567345,7263448220.800442,,
7607862926.0,2007-10-01,22.752448144939915,-0.008001271977693847,22.76044941691761,22.7288158531257,7430179492.0187025,,
7712828597.0,2008-01-01,22.76615083104017,-0.005871366750675122,22.772022197790847,22.75242424656284,7607681112.59559,,
7546513749.333333,2008-04-01,22.74435153851046,-0.038603573912503464,22.782955112422965,22.776199881191996,7790725940.009811,,
7917139402.0,2008-07-01,22.792295790912988,-0.0008788125891179277,22.793174603502106,22.800204940177192,7980005520.319036,,
8400479157.0,2008-10-01,22.85155458366882,0.048971597186096005,22.802582986482722,22.82208264287874,8156513462.625196,,
8463975895.666667,2009-01-01,22.85908486419283,0.048002836631454215,22.811082027561376,22.8407000610052,8309789054.91822,,
8192124697.333333,2009-04-01,22.82643912697016,0.007835026787279986,22.81860410018288,22.85450791510928,8425325227.490604,,
8464506462.0,2009-07-01,22.859147547465,0.03403596790007413,22.825111579564926,22.86268639326478,8494514110.043354,,
8774939046.0,2009-10-01,22.895165659949427,0.06459392213247384,22.830571737816953,22.864245148192296,8507765300.765596,,
8650661363.333334,2010-01-01,22.880901613156247,0.04592849362790474,22.834973119528343,22.85958201396541,8468184805.500927,,
8115912011.0,2010-04-01,22.817092417426863,-0.021252223062941056,22.838344640489805,22.854753270280817,8427392678.226538,,
8231130316.333333,2010-07-01,22.831189183193235,-0.009554738607338464,22.840743921800573,22.850101410035883,8388280667.593258,,
8681794420.666666,2010-10-01,22.884494074744417,0.04227877282393422,22.842215301920483,22.849845375249004,8386133250.85867,,
8424064904.0,2011-01-01,22.854358316401775,0.011561168804046673,22.84279714759773,22.85486591953548,8428342071.203702,,
8317166225.666667,2011-04-01,22.841587435886296,-0.0009668139272243081,22.84255424981352,22.854857549740686,8428271528.005321,,
8361122447.0,2011-07-01,22.846858519025634,0.0052998937460451145,22.84155862527959,22.849213702406487,8380837630.956103,,
8546244473.666667,2011-10-01,22.86875778055368,0.028876094104717254,22.83988168644896,22.839444970811513,8299366062.429845,,
